Signrt	Part	KeyType	Signup	ProdSubarea	GuideTime	Neighborhood	LowIncome	Minority	ZoneFare	AnnRides	AnnRevHrs	AnnFareRev	AnnOpCost	AnnPassMiles	AnnSeatMiles	AnnTrips	AnnPlatHrs	AnnPlatMile	AnnRevMile	AnnSeats	RidesPerRevHr	FR/OE	PassMilesPerRevHrs	PassMilesPerSeatMile	RidesPerTrip	RevHrsPerPlatHr	RidesPerPlatHr	SeatsPerTrip	PassMilesPerPlatMile	AverageLoad
7	 	EX	2010.3	WEST	Peak	Rainier Beach	Yes	Yes	One-Zone	91,559	1,968	$89,059	$474,643	326,238	1,328,040	2,470	3,660	50,941	24,404	134,368	46.53	19%	165.79	0.25	37.07	0.54	25.02	54.4	6.40	13.37
7	 	SH	2010.3	WEST	Night	Rainier Beach	Yes	Yes	One-Zone	95,748	4,534	$81,175	$956,204	192,408	3,639,388	9,607	5,835	70,005	64,989	537,992	21.12	8%	42.44	0.05	9.97	0.78	16.41	56.0	2.75	2.96
7	 	TB	2010.3	WEST	Night	Rainier Beach	Yes	Yes	One-Zone	414,023	11,502	$351,009	$2,407,208	1,087,373	7,704,833	17,167	16,530	145,778	138,360	956,044	36.00	15%	94.54	0.14	24.12	0.70	25.05	55.7	7.46	7.86
7	 	TB	2010.3	WEST	OffPeak	Rainier Beach	Yes	Yes	One-Zone	1,423,581	21,594	$1,206,912	$3,900,360	3,473,086	11,739,258	25,071	27,755	210,260	209,630	1,403,976	65.93	31%	160.84	0.30	56.78	0.78	51.29	56.0	16.52	16.57
7	 	TB	2010.3	WEST	Peak	Rainier Beach	Yes	Yes	One-Zone	693,884	12,355	$674,941	$2,193,209	1,779,327	6,402,611	13,638	15,566	119,007	114,332	763,728	56.16	31%	144.01	0.28	50.88	0.79	44.58	56.0	14.95	15.56
8	 		2010.3	WEST	Night	Rainier Beach	Yes	No	One-Zone	511,586	13,220	$465,850	$2,245,184	1,275,547	8,342,266	13,772	18,731	197,547	169,125	679,645	38.70	21%	96.49	0.15	37.15	0.71	27.31	49.3	6.46	7.54
8	 		2010.3	WEST	OffPeak	Rainier Beach	Yes	No	One-Zone	1,082,458	19,531	$985,687	$3,042,447	2,991,284	11,784,667	19,600	25,936	253,519	240,289	960,635	55.42	32%	153.16	0.25	55.23	0.75	41.74	49.0	11.80	12.45
8	 		2010.3	WEST	Peak	Rainier Beach	Yes	No	One-Zone	931,494	13,247	$1,195,759	$2,105,241	2,247,927	8,365,642	12,495	17,565	175,794	152,781	684,165	70.32	57%	169.69	0.27	74.55	0.75	53.03	54.8	12.79	14.71
9	 	EX	2010.3	WEST	OffPeak	Rainier Ave	Yes	Yes	One-Zone	283,322	5,199	$251,023	$884,475	1,005,396	3,084,323	7,187	7,622	67,174	60,457	366,617	54.50	28%	193.40	0.33	39.42	0.68	37.17	51.0	14.97	16.63
9	 	EX	2010.3	WEST	Peak	Rainier Ave	Yes	Yes	One-Zone	320,966	5,060	$407,017	$973,743	1,029,502	2,793,898	6,996	8,168	85,567	58,957	331,512	63.44	42%	203.47	0.37	45.88	0.62	39.30	47.4	12.03	17.46
10	 		2010.3	WEST	Night	Capitol Hill	No	No	One-Zone	250,028	4,357	$231,726	$915,574	232,333	1,558,511	14,271	7,589	47,899	37,107	599,382	57.39	25%	53.33	0.15	17.52	0.57	32.95	42.0	4.85	6.26
10	 		2010.3	WEST	OffPeak	Capitol Hill	No	No	One-Zone	650,908	7,646	$603,262	$1,293,775	698,502	2,490,099	21,494	10,927	61,687	59,288	902,748	85.13	47%	91.35	0.28	30.28	0.70	59.57	42.0	11.32	11.78
10	 		2010.3	WEST	Peak	Capitol Hill	No	No	One-Zone	477,008	6,487	$673,727	$1,091,179	452,327	1,876,402	17,013	9,160	53,654	44,676	714,546	73.53	62%	69.73	0.24	28.04	0.71	52.07	42.0	8.43	10.12
11	 		2010.3	WEST	Night	Madison Park	No	No	One-Zone	205,130	3,621	$189,151	$629,588	309,754	1,576,979	10,079	5,677	50,031	40,485	393,228	56.65	30%	85.54	0.20	20.35	0.64	36.13	39.0	6.19	7.65
11	 		2010.3	WEST	OffPeak	Madison Park	No	No	One-Zone	432,946	5,172	$399,219	$819,255	642,229	2,075,358	12,661	7,583	57,985	50,770	515,776	83.71	49%	124.18	0.31	34.20	0.68	57.10	40.7	11.08	12.65
11	 		2010.3	WEST	Peak	Madison Park	No	No	One-Zone	373,408	4,888	$566,497	$824,343	534,823	1,922,556	10,670	7,453	58,493	44,177	459,296	76.39	69%	109.41	0.28	35.00	0.66	50.10	43.0	9.14	12.11
12	 		2010.3	WEST	Night	Interlaken Park	Yes	No	One-Zone	122,119	3,051	$115,878	$551,067	165,283	1,124,010	8,703	4,574	28,632	26,762	365,526	40.02	21%	54.17	0.15	14.03	0.67	26.70	42.0	5.77	6.18
12	 		2010.3	WEST	OffPeak	Interlaken Park	Yes	No	One-Zone	511,408	7,900	$485,275	$1,259,919	636,018	2,365,873	18,074	10,724	57,620	56,330	759,108	64.73	39%	80.51	0.27	28.30	0.74	47.69	42.0	11.04	11.29
12	 		2010.3	WEST	Peak	Interlaken Park	Yes	No	One-Zone	349,076	4,955	$586,867	$743,411	411,760	1,452,302	11,180	6,256	36,116	34,579	469,560	70.46	79%	83.11	0.28	31.22	0.79	55.80	42.0	11.40	11.91
12	 	TB	2010.3	WEST	OffPeak	First Hill	Yes	No	One-Zone	56,628	1,138	$53,735	$207,814	44,630	287,681	3,766	1,797	8,666	6,850	158,172	49.78	26%	39.23	0.16	15.04	0.63	31.51	42.0	5.15	6.52
12	 	TB	2010.3	WEST	Peak	First Hill	Yes	No	One-Zone	125,082	2,132	$210,288	$358,945	86,679	426,521	5,801	3,105	14,954	10,155	243,642	58.67	59%	40.66	0.20	21.56	0.69	40.29	42.0	5.80	8.54
13	 		2010.3	WEST	Night	Seattle Pacific U.	Yes	No	One-Zone	205,355	4,579	$190,405	$843,568	310,158	1,846,685	10,457	6,889	47,171	43,969	439,194	44.85	23%	67.74	0.17	19.64	0.66	29.81	42.0	6.58	7.05
13	 		2010.3	WEST	OffPeak	Seattle Pacific U.	Yes	No	One-Zone	458,144	4,735	$424,791	$799,025	629,126	1,851,946	11,502	6,531	44,490	44,094	483,084	96.77	53%	132.88	0.34	39.83	0.72	70.14	42.0	14.14	14.27
13	 		2010.3	WEST	Peak	Seattle Pacific U.	Yes	No	One-Zone	456,932	4,688	$674,386	$734,444	633,387	1,680,166	9,913	5,958	42,229	40,004	416,346	97.46	92%	135.10	0.38	46.09	0.79	76.69	42.0	15.00	15.83
14	N		2010.3	WEST	Night	Summit	Yes	No	One-Zone	82,776	1,915	$76,212	$396,476	57,951	642,116	9,478	3,459	15,651	15,288	398,076	43.21	19%	30.25	0.09	8.73	0.55	23.93	42.0	3.70	3.79
14	N		2010.3	WEST	OffPeak	Summit	Yes	No	One-Zone	142,010	2,301	$130,749	$414,496	106,380	769,661	11,759	3,549	18,325	18,325	493,878	61.71	32%	46.23	0.14	12.08	0.65	40.01	42.0	5.81	5.81
14	N		2010.3	WEST	Peak	Summit	Yes	No	One-Zone	132,864	1,980	$204,970	$344,276	90,505	599,892	8,837	2,968	14,646	14,283	371,154	67.11	60%	45.71	0.15	15.04	0.67	44.77	42.0	6.18	6.34
14	S		2010.3	WEST	Night	Mount Baker	Yes	Yes	One-Zone	19,122	561	$17,606	$125,755	23,965	239,222	1,396	930	9,886	5,696	58,632	34.07	14%	42.70	0.10	13.70	0.60	20.56	42.0	2.42	4.21
14	S		2010.3	WEST	Night	Mount Baker	Yes	Yes	One-Zone	122,381	4,219	$112,676	$708,121	222,248	1,690,899	7,987	5,622	44,329	40,260	335,454	29.01	16%	52.68	0.13	15.32	0.75	21.77	42.0	5.01	5.52
14	S		2010.3	WEST	OffPeak	Mount Baker	Yes	Yes	One-Zone	338,104	6,986	$311,292	$1,079,139	531,225	2,576,565	12,201	8,718	63,130	61,347	512,442	48.40	29%	76.04	0.21	27.71	0.80	38.78	42.0	8.41	8.66
14	S		2010.3	WEST	Peak	Mount Baker	Yes	Yes	One-Zone	279,621	6,227	$431,371	$963,846	400,405	2,076,422	9,841	7,836	54,934	49,439	413,322	44.91	45%	64.30	0.19	28.41	0.79	35.69	42.0	7.29	8.10
15	 		2010.3	WEST	Night	Blue Ridge	No	No	One-Zone	237,450	4,369	$222,847	$775,327	748,828	3,626,184	7,132	6,001	76,349	62,200	415,654	54.35	29%	171.40	0.21	33.29	0.73	39.57	58.3	9.81	12.04
15	 		2010.3	WEST	OffPeak	Blue Ridge	No	No	One-Zone	818,510	9,791	$768,172	$1,622,241	2,177,349	7,556,289	15,850	13,260	136,188	127,681	937,612	83.59	47%	222.37	0.29	51.64	0.74	61.73	59.2	15.99	17.05
15	 		2010.3	WEST	Peak	Blue Ridge	No	No	One-Zone	417,860	4,537	$711,741	$807,478	1,113,592	3,398,318	6,869	6,324	75,597	56,680	412,076	92.10	88%	245.43	0.33	60.83	0.72	66.07	60.0	14.73	19.65
15	 	EX	2010.3	WEST	Peak	Blue Ridge	No	No	One-Zone	287,606	3,404	$463,705	$769,566	1,267,828	2,677,836	4,944	5,832	77,536	44,330	298,800	84.49	60%	372.45	0.47	58.17	0.58	49.32	60.4	16.35	28.60
15	 	TB	2010.3	WEST	Night	Ballard	No	No	One-Zone	115,403	2,512	$108,305	$520,941	282,567	2,253,334	5,511	4,324	41,796	38,200	324,696	45.94	21%	112.48	0.13	20.94	0.58	26.69	58.9	6.76	7.40
15	 	TB	2010.3	WEST	Peak	Ballard	No	No	One-Zone	109,880	1,099	$187,159	$161,547	281,938	843,713	1,924	1,283	14,460	14,003	116,134	99.97	116%	256.50	0.33	57.11	0.86	85.62	60.4	19.50	20.13
16	 		2010.3	WEST	Night	Northgate TC	No	No	One-Zone	292,386	9,453	$271,597	$1,729,840	1,162,148	5,905,661	11,802	14,548	158,497	133,074	523,995	30.93	16%	122.93	0.20	24.77	0.65	20.10	44.4	7.33	8.73
16	 		2010.3	WEST	OffPeak	Northgate TC	No	No	One-Zone	694,503	15,057	$645,124	$2,374,139	2,447,862	8,294,900	16,415	20,469	200,927	185,556	733,135	46.13	27%	162.58	0.30	42.31	0.74	33.93	44.7	12.18	13.19
16	 		2010.3	WEST	Peak	Northgate TC	No	No	One-Zone	397,803	7,935	$551,037	$1,262,174	1,451,001	4,481,908	8,160	10,672	109,367	92,381	396,270	50.13	44%	182.87	0.32	48.75	0.74	37.28	48.6	13.27	15.71
17	 		2010.3	WEST	Night	Loyal Heights	No	No	One-Zone	137,394	4,150	$132,502	$839,755	497,051	2,695,898	7,167	7,055	83,642	61,167	314,784	33.11	16%	119.77	0.18	19.17	0.59	19.48	43.9	5.94	8.13
17	 		2010.3	WEST	OffPeak	Loyal Heights	No	No	One-Zone	330,086	6,764	$318,335	$1,010,954	1,017,506	3,939,588	11,203	8,727	97,887	93,800	470,526	48.80	31%	150.43	0.26	29.46	0.78	37.83	42.0	10.39	10.85
17	 		2010.3	WEST	Peak	Loyal Heights	No	No	One-Zone	287,642	5,364	$553,711	$890,502	947,631	2,860,320	7,395	7,319	90,969	63,243	332,520	53.63	62%	176.68	0.33	38.90	0.73	39.30	45.0	10.42	14.98
17	 	EX	2010.3	WEST	Peak	Loyal Heights	No	No	One-Zone	128,857	1,991	$234,668	$444,557	643,711	1,397,384	2,749	3,375	47,881	25,183	151,776	64.73	53%	323.38	0.46	46.87	0.59	38.18	55.2	13.44	25.56
18	 		2010.3	WEST	Night	North Beach	No	No	One-Zone	178,477	3,317	$168,857	$550,211	574,356	2,862,263	5,417	4,035	60,829	48,913	317,016	53.80	31%	173.14	0.20	32.95	0.82	44.24	58.5	9.44	11.74
18	 		2010.3	WEST	OffPeak	North Beach	No	No	One-Zone	436,893	6,146	$413,345	$986,671	1,151,539	4,859,593	9,181	7,961	86,153	82,134	543,208	71.09	42%	187.38	0.24	47.59	0.77	54.88	59.2	13.37	14.02
18	 		2010.3	WEST	Peak	North Beach	No	No	One-Zone	299,845	3,643	$519,541	$730,037	888,159	2,752,549	5,076	5,475	75,985	46,281	301,962	82.30	71%	243.78	0.32	59.07	0.67	54.77	59.5	11.69	19.19
18	 	EX	2010.3	WEST	Peak	North Beach	No	No	One-Zone	154,370	1,806	$267,477	$363,719	701,875	1,465,443	2,526	2,652	38,889	24,192	152,994	85.47	74%	388.62	0.48	61.11	0.68	58.22	60.6	18.05	29.01
18	 	TB	2010.3	WEST	Night	Crown Hill	No	No	One-Zone	121,074	3,063	$114,548	$676,027	296,255	2,704,931	6,180	5,649	52,766	45,651	366,042	39.53	17%	96.73	0.11	19.59	0.54	21.43	59.2	5.61	6.49
18	 	TB	2010.3	WEST	OffPeak	Crown Hill	No	No	One-Zone	263,834	3,695	$249,613	$621,444	603,385	2,909,747	7,020	5,142	50,626	49,426	413,280	71.40	40%	163.29	0.21	37.58	0.72	51.31	58.9	11.92	12.21
18	 	TB	2010.3	WEST	Peak	Crown Hill	No	No	One-Zone	153,111	1,993	$265,295	$354,460	381,069	1,550,967	3,562	2,883	29,626	25,793	214,198	76.81	75%	191.17	0.25	42.98	0.69	53.12	60.1	12.86	14.77
19	 		2010.3	WEST	Peak	West Magnolia	No	No	One-Zone	73,008	1,406	$141,421	$335,000	243,162	640,886	2,518	2,834	34,767	16,466	98,728	51.92	42%	172.93	0.38	28.99	0.50	25.76	39.2	6.99	14.77
21	 		2010.3	WEST	Night	Arbor Heights	No	Yes	One-Zone	145,347	6,981	$136,583	$1,294,747	639,728	6,689,681	10,672	9,932	130,120	114,473	623,804	20.82	11%	91.64	0.10	13.62	0.70	14.63	58.5	4.92	5.59
21	 		2010.3	WEST	OffPeak	Arbor Heights	No	Yes	One-Zone	274,330	8,028	$257,788	$1,331,975	1,163,820	7,373,040	11,748	10,381	129,030	126,159	685,974	34.17	19%	144.97	0.16	23.35	0.77	26.43	58.4	9.02	9.23
21	 		2010.3	WEST	Peak	Arbor Heights	No	Yes	One-Zone	165,192	4,069	$296,040	$702,086	687,862	3,632,513	5,602	5,176	72,896	58,744	346,288	40.59	42%	169.03	0.19	29.49	0.79	31.92	61.8	9.44	11.71
21	 	EX	2010.3	WEST	Peak	Arbor Heights	No	No	One-Zone	227,895	4,132	$395,260	$979,055	1,304,563	4,096,558	5,578	7,168	109,135	70,191	325,468	55.16	40%	315.74	0.32	40.86	0.58	31.80	58.3	11.95	18.59
22	 		2010.3	WEST	Night	White Center	Yes	No	Two-Zone	34,659	1,516	$31,890	$294,753	111,169	1,234,134	1,802	2,247	29,357	20,661	107,576	22.86	11%	73.33	0.09	19.23	0.67	15.43	59.7	3.79	5.38
22	 		2010.3	WEST	OffPeak	White Center	Yes	No	Two-Zone	239,595	8,794	$220,451	$1,405,568	967,020	7,020,726	10,298	11,377	120,624	117,725	614,114	27.25	16%	109.97	0.14	23.27	0.77	21.06	59.6	8.02	8.21
22	 		2010.3	WEST	Peak	White Center	Yes	No	Two-Zone	163,110	4,638	$228,484	$729,103	546,446	3,425,025	5,092	5,762	67,423	58,178	299,878	35.17	31%	117.81	0.16	32.03	0.81	28.31	58.9	8.10	9.39
23	 		2010.3	WEST	Night	White Center	Yes	Yes	Two-Zone	128,475	5,114	$117,080	$982,934	588,714	4,386,468	9,502	7,773	97,882	86,929	479,195	25.12	12%	115.11	0.13	13.52	0.66	16.53	50.4	6.01	6.77
23	 		2010.3	WEST	OffPeak	White Center	Yes	Yes	Two-Zone	254,694	6,901	$232,103	$1,199,851	1,051,676	4,737,893	11,406	9,721	119,763	104,453	517,530	36.90	19%	152.38	0.22	22.33	0.71	26.20	45.4	8.78	10.07
23	 		2010.3	WEST	Peak	White Center	Yes	Yes	Two-Zone	166,636	3,625	$229,808	$607,237	713,108	2,599,156	5,355	4,866	56,100	49,082	283,815	45.97	38%	196.71	0.27	31.12	0.74	34.24	53.0	12.71	14.53
24	 		2010.3	WEST	Night	Central Magnolia	Yes	No	One-Zone	131,361	4,793	$125,030	$845,508	455,441	3,539,764	8,795	6,857	87,624	76,434	407,109	27.40	15%	95.02	0.13	14.94	0.70	19.16	46.3	5.20	5.96
24	 		2010.3	WEST	OffPeak	Central Magnolia	Yes	No	One-Zone	272,408	6,492	$259,278	$1,114,988	961,678	4,907,549	11,800	9,346	105,813	102,585	564,394	41.96	23%	148.14	0.20	23.09	0.69	29.15	47.8	9.09	9.37
24	 		2010.3	WEST	Peak	Central Magnolia	Yes	No	One-Zone	143,829	2,380	$245,128	$413,053	427,304	1,718,659	3,825	3,311	42,475	33,726	194,310	60.43	59%	179.54	0.25	37.60	0.72	43.44	50.8	10.06	12.67
24	 	TB	2010.3	WEST	Peak	Central Magnolia	Yes	No	One-Zone	114,652	1,834	$186,382	$338,829	400,883	1,330,710	3,044	2,730	30,702	23,155	176,433	62.53	55%	218.64	0.30	37.66	0.67	42.00	58.0	13.06	17.31
25	 		2010.3	WEST	Night	Laurelhurst	Yes	No	One-Zone	19,684	1,186	$18,237	$223,007	56,712	567,416	1,530	1,951	20,556	13,510	64,260	16.60	8%	47.83	0.10	12.87	0.61	10.09	42.0	2.76	4.20
25	 		2010.3	WEST	OffPeak	Laurelhurst	Yes	No	One-Zone	43,917	2,478	$40,689	$325,324	166,082	1,198,985	2,805	2,882	28,547	28,547	117,810	17.72	13%	67.03	0.14	15.66	0.86	15.24	42.0	5.82	5.82
25	 		2010.3	WEST	Peak	Laurelhurst	Yes	No	One-Zone	121,979	4,688	$210,841	$682,457	326,680	2,191,052	5,610	6,018	60,963	52,168	235,620	26.02	31%	69.69	0.15	21.74	0.78	20.27	42.0	5.36	6.26
26	 		2010.3	WEST	Night	East Green Lake	No	No	One-Zone	265,994	5,037	$255,886	$983,900	607,770	4,146,545	10,817	7,851	88,359	70,422	636,918	52.81	26%	120.66	0.15	24.59	0.64	33.88	58.9	6.88	8.63
26	 		2010.3	WEST	OffPeak	East Green Lake	No	No	One-Zone	421,973	6,008	$405,938	$956,659	1,033,972	4,287,350	11,568	8,021	77,007	75,308	658,580	70.23	42%	172.09	0.24	36.48	0.75	52.61	56.9	13.43	13.73
26	 		2010.3	WEST	Peak	East Green Lake	No	No	One-Zone	339,718	4,016	$639,724	$709,467	777,418	2,840,312	6,885	5,568	62,493	45,002	434,520	84.59	90%	193.57	0.27	49.34	0.72	61.02	63.1	12.44	17.28
26	 	EX	2010.3	WEST	Peak	East Green Lake	Yes	No	One-Zone	138,179	2,088	$252,656	$472,124	425,585	1,382,762	3,291	3,652	45,249	23,210	196,058	66.19	54%	203.85	0.31	41.99	0.57	37.84	59.6	9.41	18.34
